ID	ชื่อ-นามสกุล	สังกัด	ประเภทรางวัล	ระดับ	รหัสใบอนุญาต
MAA001	หรรษธร นับเนื่องนอ	FWD Insurance	MAA	Titanium	EYKYH87K8
MAA002	ปิยะนันท์ น้ำทิพย์	FWD Insurance	MAA	Bronze	EYKYH87K9
MAA003	พีรภัทร์ ถนิมมาศ	FWD Insurance	MAA	Diamond	EYKYH87K10
MAA004	เทพนารี ฉัพพรรณธนกูร	AIA Thailand	MAA	Gold	EYKYH87K11
MAA005	ปิยนาฎ ผลบุญ	Great Eastern	MAA	Silver	EYKYH87K12
MAA006	เกริกพล ศาสตร์ศิลป์	Thai Life Insurance	MAA	Gold	EYKYH87K13
MAA007	กะดิรัตน์ นาคพันธุ์	AIA Thailand	MAA	Gold	EYKYH87K14
MAA008	ชัชเวศย์ เตชะกำพุ	AIA Thailand	MAA	Gold	EYKYH87K15
MAA009	สิริรัตน์ บัวเผื่อน	FWD Insurance	MAA	Diamond	EYKYH87K16
MAA010	นารดา ธรรมเมธา	Prudential	MAA	Platinum	EYKYH87K17
MAA011	ฉลองชัย ตวันเยี่ยม	Prudential	MAA	Diamond	EYKYH87K18
MAA012	จักรชัย ไทยสุชาต	Thai Life Insurance	MAA	Platinum	EYKYH87K19
MAA013	รอซีด๊ะ นิละทัต	AIA Thailand	MAA	Diamond	EYKYH87K20
MAA014	ถนอมชัย สังข์กรด	Thai Life Insurance	MAA	Diamond	EYKYH87K21
MAA015	เมษา ดวงทับทิม	FWD Insurance	MAA	Diamond	EYKYH87K22
MAA016	นรีกานต์ สังข์กรด	Great Eastern	MAA	Diamond	EYKYH87K23
MAA017	ศรินยา นิยมสำหรวจ	AIA Thailand	MAA	Silver	EYKYH87K24
MAA018	แกมแพร แถมธน	Prudential	MAA	Diamond	EYKYH87K25
MAA019	พิมพ์สุตา ตั้งกุลงาม	FWD Insurance	MAA	Diamond	EYKYH87K26
MAA020	ณัฐธิตา เขียวขุ้ย	AIA Thailand	MAA	Gold	EYKYH87K27
MAA021	พาดีล๊ะ นิลสุวรรณ์	Thai Life Insurance	MAA	Titanium	EYKYH87K28
MAA022	ทิมาภรณ์ บุณยะภาชน์	AIA Thailand	MAA	Bronze	EYKYH87K29
MAA023	ยนงคราญ ศาสตร์ศิลป์	AIA Thailand	MAA	Bronze	EYKYH87K30
MAA024	สีหราช ดาวอร่าม	Great Eastern	MAA	Bronze	EYKYH87K31
MAA025	รูไกยะฮ์ เณรานุสนธิ์	Prudential	MAA	Gold	EYKYH87K32
MAA026	คำ นาถะเดชะ	AIA Thailand	MAA	Platinum	EYKYH87K33
MAA027	อัญชัญ วาทา	Prudential	MAA	Platinum	EYKYH87K34
MAA028	อัญชัญ ตรีเภรินทร์	Prudential	MAA	Platinum	EYKYH87K35
MAA029	พาสุข ไทยสุชาต	Thai Life Insurance	MAA	Bronze	EYKYH87K36
MAA030	มนัส ถนัดรบ	FWD Insurance	MAA	Diamond	EYKYH87K37
MAA031	วรรณาต ถ้วนศรี	Prudential	MAA	Silver	EYKYH87K38
MAA032	ซูรัยดา นวลเพ็ง	Prudential	MAA	Titanium	EYKYH87K39
MAA033	มารุด ธัญาโภชน์	AIA Thailand	MAA	Diamond	EYKYH87K40
MAA034	ศศินา นิลสุวรรณ์	Thai Life Insurance	MAA	Diamond	EYKYH87K41
MAA035	เฉลิมพล ตวงทอง	Thai Life Insurance	MAA	Silver	EYKYH87K42
MAA036	อัญชัญ ติณรัตน์	Thai Life Insurance	MAA	Silver	EYKYH87K43
MAA037	วุฒิ ถมังรักษสัตว์	Prudential	MAA	Gold	EYKYH87K44
